model,category,year,venue,title,authors,doi_or_url,reason_for_inclusion,project_implementation
PCA T-squared and Q,Statistical baseline,2003,Journal of Quality Technology,Statistical Process Monitoring and Optimization,"Chiang, Russell, Braatz",https://doi.org/10.1201/9780203912523,Classical multivariate process-monitoring baseline,PCA_SPE reconstruction score
Isolation Forest,Classical machine learning,2008,ICDM,Isolation Forest,"Liu, Ting, Zhou",https://doi.org/10.1109/ICDM.2008.17,Widely used unsupervised anomaly detector,IsolationForest
LSTM detector,Temporal deep learning,2015,ESANN,Long Short Term Memory Networks for Anomaly Detection in Time Series,"Malhotra, Vig, Shroff, Agarwal",https://www.esann.org/sites/default/files/proceedings/legacy/es2015-56.pdf,Foundational recurrent time-series anomaly detector,LSTMAE
USAD,Adversarial autoencoder,2020,KDD,USAD: UnSupervised Anomaly Detection on Multivariate Time Series,"Audibert, Michiardi, Guyard, Marti, Zuluaga",https://doi.org/10.1145/3394486.3403392,Popular efficient multivariate anomaly detector,USAD
TcnED / channel-wise AE,Evaluation baseline,2022,IEEE TNNLS,An Evaluation of Anomaly Detection and Diagnosis in Multivariate Time Series,"Garg, Zhang, Samaran, Ramasamy, Foo",https://doi.org/10.1109/TNNLS.2021.3105827,Shows strong simple channel-wise and dynamic-scoring baselines,ConvAE and evaluation design
Anomaly Transformer,Transformer SOTA baseline,2022,ICLR,Anomaly Transformer: Time Series Anomaly Detection with Association Discrepancy,"Xu, Wu, Wang, Long",https://openreview.net/forum?id=LzQQ89U1qm_,Influential attention-based anomaly detector,Optional DeepOD baseline
TranAD,Transformer SOTA baseline,2022,PVLDB,TranAD: Deep Transformer Networks for Anomaly Detection in Multivariate Time Series Data,"Tuli, Casale, Jennings",https://doi.org/10.14778/3514061.3514067,Common industrial multivariate time-series baseline,Optional DeepOD baseline
DCdetector,Contrastive SOTA baseline,2023,KDD,DCdetector: Dual Attention Contrastive Representation Learning for Time Series Anomaly Detection,"Yang, Zhang, Zhou, Wen, Sun",https://doi.org/10.1145/3580305.3599295,Strong contrastive representation-learning comparator,Optional DeepOD baseline
SKAB benchmark,Dataset benchmark,2020,Kaggle/Skoltech,Skoltech Anomaly Benchmark (SKAB),"Katser, Kozitsin",https://doi.org/10.34740/KAGGLE/DSV/1693952,Provides native industrial anomalies and changepoints,Dataset and native evaluation
Gas Sensor Drift,Dataset benchmark,2013,UCI Machine Learning Repository,Gas Sensor Array Drift Dataset at Different Concentrations,"Vergara et al.; Rodriguez-Lujan et al.",https://archive.ics.uci.edu/dataset/270/gas%2Bsensor%2Barray%2Bdrift%2Bdataset%2Bat%2Bdifferent%2Bconcentrations,Provides 36-month sensor drift with gas and concentration context,Dataset and controlled drift evaluation
